date,WaterLevel,Discharge,EC@25C (µS/cm):F,Relative humidity in percentage %,Air Temperature in degrees C,Wind Speed along North in km/h,Wind Speed along East in km/h,WaterTemperature
01/01/2000 00:00,30.88,5895.05,485.5,39.5,16.65,-19.28060645,1.936177181,22.4
01/01/2000 01:00,30.88,5895.05,479.4,43.0,15.4,-24.62019383,4.341204442,22.0
01/01/2000 02:00,30.88,5895.05,479.4,49.0,14.2,-18.26023133,1.597563235,22.0
01/01/2000 03:00,30.88,5895.05,479.4,54.5,13.2,-18.12046266,3.195126469,22.0
01/01/2000 04:00,30.88,5895.05,479.4,57.5,12.35,-17.36023133,1.597563235,22.0
01/01/2000 05:00,30.88,5895.05,479.4,60.5,11.8,-17.36023133,1.597563235,22.0
01/01/2000 06:00,30.88,5895.05,479.4,64.5,11.05,-12.88757737,-1.284996515,22.0
01/01/2000 07:00,30.88,5895.05,479.4,64.5,11.5,-12.80250079,-2.25742631,22.0
01/01/2000 08:00,30.88,5895.05,479.4,58.5,13.0,-18.39427947,1.779893821,22.0
01/01/2000 09:00,30.88,5895.05,483.3,54.0,14.5,-19.62577856,5.0827625,24.2
01/01/2000 10:00,30.88,5895.05,483.3,48.0,16.15,-19.1545108,0.494897306,24.2
01/01/2000 11:00,30.88,5895.05,483.3,41.5,18.25,-18.42390435,1.441279875,24.2
01/01/2000 12:00,30.88,5895.05,483.3,35.5,20.05,-19.1545108,-0.182330587,24.2
01/01/2000 13:00,30.88,5895.05,483.3,33.5,21.4,-19.1545108,-0.182330587,23.9
01/01/2000 14:00,30.88,5895.05,483.3,29.0,22.3,-21.23060645,-1.936177181,23.9
01/01/2000 15:00,30.88,5895.05,483.3,26.5,22.85,-22.30390253,6.057519908,23.9
01/01/2000 16:00,30.88,5895.05,483.3,24.0,23.8,-18.26023133,1.597563235,23.9
01/01/2000 17:00,30.88,5895.05,486.2,21.5,24.55,-20.06745548,9.530706469,22.5
01/01/2000 18:00,30.88,5895.05,486.2,20.5,24.3,-18.42390435,1.441279875,22.5
01/01/2000 19:00,30.88,5895.05,486.2,22.0,24.0,-16.61260583,7.746585319,22.5
01/01/2000 20:00,30.88,5895.05,486.2,25.5,22.9,-14.68939645,4.847563235,22.5
01/01/2000 21:00,30.88,5895.05,486.2,33.5,20.5,-8.158824779,2.267357749,22.5
01/01/2000 22:00,30.88,5895.05,486.2,37.5,18.55,-6.481800843,-3.742269461,22.5
01/01/2000 23:00,30.88,5895.05,486.2,39.0,17.5,-8.229005322,-3.837248201,22.5
01/01/2001 00:00,30.88,5895.05,174.3,35.5,23.6,-5.990896534,1.9,24.9
01/01/2001 01:00,30.88,5895.05,173.6,32.0,23.5,-8.140638796,4.7,25.0
01/01/2001 02:00,30.88,5895.05,173.6,14.0,37.9,15.12762974,-3.972228935,25.0
01/01/2001 03:00,30.88,5895.05,173.6,14.0,37.9,15.12762974,-3.972228935,25.0
01/01/2001 04:00,30.88,5895.05,173.6,14.0,37.9,15.12762974,-3.972228935,25.0
01/01/2001 05:00,30.88,5895.05,173.6,14.0,37.9,15.12762974,-3.972228935,25.0
01/01/2001 06:00,30.88,5895.05,173.6,14.0,37.9,15.12762974,-3.972228935,25.0
01/01/2001 07:00,30.88,5895.05,173.6,14.0,37.9,15.12762974,-3.972228935,25.0
01/01/2001 08:00,30.88,5895.05,173.6,14.0,37.9,15.12762974,-3.972228935,25.0
01/01/2001 09:00,30.88,5895.05,172.0,14.0,37.9,15.12762974,-3.972228935,26.0
01/01/2001 10:00,30.88,5895.05,172.0,14.0,37.9,15.12762974,-3.972228935,26.0
01/01/2001 11:00,30.88,5895.05,172.0,14.0,37.9,15.12762974,-3.972228935,26.0
01/01/2001 12:00,30.88,5895.05,172.0,14.0,37.9,15.12762974,-3.972228935,26.0
01/01/2001 13:00,30.88,5895.05,172.0,14.0,37.9,15.12762974,-3.972228935,26.0
01/01/2001 14:00,30.88,5895.05,172.0,14.0,37.9,15.12762974,-3.972228935,26.0
01/01/2001 15:00,30.88,5895.05,172.0,13.0,37.95,11.38787687,-7.878119463,26.0
01/01/2001 16:00,30.88,5895.05,172.0,17.0,37.75,17.99403168,0.558859522,26.0
01/01/2001 17:00,30.88,5895.05,172.0,20.5,37.7,24.33803888,8.858321712,25.3
01/01/2001 18:00,30.88,5895.05,172.0,22.5,35.95,17.79208185,26.94443537,25.3
01/01/2001 19:00,30.88,5895.05,172.0,28.5,31.85,20.62020131,29.58545566,25.3
01/01/2001 20:00,30.88,5895.05,172.0,30.0,30.9,29.79912884,25.00443802,25.3
01/01/2001 21:00,30.88,5895.05,172.0,36.0,27.9,23.97719107,20.11925218,25.3
01/01/2001 22:00,30.88,5895.05,172.0,40.0,26.95,23.31774792,11.04634273,25.3
